MS short,MS long,Year,Total RES share proxy,RES-E proxy,RES-H/C proxy,RES-T proxy
AT,Austria,2016,0.339570191,0.727448864,0.340956264,0.114186298
BE,Belgium,2016,0.088599538,0.17075114,0.079076286,0.057639682
BG,Bulgaria,2016,0.179739045,0.195809071,0.277151153,0.065415925
HR,Croatia,2016,0.289527256,0.450947914,0.378263843,0.037633874
CY,Cyprus,2016,0.08662251,0.083503688,0.217206977,0.022036842
CZ,Czech Republic,2016,0.153680836,0.14127226,0.209646565,0.058260709
DK,Denmark,2016,0.320415805,0.529356572,0.418015076,0.069985317
EE,Estonia,2016,0.27921908,0.136066071,0.504917453,0.004509878
FI,Finland,2016,0.396884874,0.331375668,0.538463865,0.208299888
FR,France,2016,0.155861114,0.19134858,0.202498705,0.089263248
DE,Germany,2016,0.146668327,0.320320643,0.129001414,0.068949335
EL,Greece,2016,0.157315042,0.23185147,0.248608711,0.025348611
HU,Hungary,2016,0.142743724,0.074385014,0.21042688,0.063194822
IE,Ireland,2016,0.091992043,0.264097152,0.063632906,0.058501652
IT,Italy,2016,0.171845272,0.342799379,0.182634885,0.060730206
LV,Latvia,2016,0.378478035,0.526827176,0.53063581,0.038348929
LT,Lithuania,2016,0.259596229,0.179148133,0.479108712,0.035284544
LU,Luxembourg,2016,0.051776999,0.065789187,0.068507248,0.071357214
MT,Malta,2016,0.058583719,0.056733622,0.141282056,0.064600163
NL,Netherlands,2016,0.057757179,0.122502258,0.05217914,0.045317172
PL,Poland,2016,0.115427742,0.148784138,0.140109879,0.053621232
PT,Portugal,2016,0.279419832,0.521016916,0.342206786,0.062098919
RO,Romania,2016,0.244046387,0.404410936,0.261958946,0.055456827
SK,Slovakia,2016,0.128027516,0.226292422,0.108827225,0.082151872
SI,Slovenia,2016,0.216739968,0.329883551,0.346970308,0.021051922
ES,Spain,2016,0.174013369,0.369389546,0.174879679,0.052157475
SE,Sweden,2016,0.541994006,0.646908877,0.689469821,0.265946269
UK,United Kingdom,2016,0.088831483,0.246253334,0.061661568,0.044559628
EU28,EU-28,2016,0.169124491,0.296338796,0.186891897,0.070807954
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
