CountryShort,Year, ValueNumeric,Unit,Market_Sector,Data_source,Date
BE,2019,0.0987,%,Total,EEA,30-Sep-20
BG,2019,0.2133,%,Total,EEA,30-Sep-20
CZ,2019,0.1547,%,Total,EEA,30-Sep-20
DK,2019,0.3692,%,Total,EEA,30-Sep-20
DE,2019,0.1708,%,Total,EEA,30-Sep-20
EE,2019,0.3137,%,Total,EEA,30-Sep-20
IE,2019,0.1204,%,Total,EEA,30-Sep-20
EL,2019,0.196,%,Total,EEA,30-Sep-20
ES,2019,0.1804,%,Total,EEA,30-Sep-20
FR,2019,0.1715,%,Total,EEA,30-Sep-20
HR,2019,0.2869,%,Total,EEA,30-Sep-20
IT,2019,0.1844,%,Total,EEA,30-Sep-20
CY,2019,0.1415,%,Total,EEA,30-Sep-20
LV,2019,0.4082,%,Total,EEA,30-Sep-20
LT,2019,0.2485,%,Total,EEA,30-Sep-20
LU,2019,0.0966,%,Total,EEA,30-Sep-20
HU,2019,0.1259,%,Total,EEA,30-Sep-20
MT,2019,0.0852,%,Total,EEA,30-Sep-20
NL,2019,0.0838,%,Total,EEA,30-Sep-20
AT,2019,0.3387,%,Total,EEA,30-Sep-20
PL,2019,0.1156,%,Total,EEA,30-Sep-20
PT,2019,0.3036,%,Total,EEA,30-Sep-20
RO,2019,0.2426,%,Total,EEA,30-Sep-20
SI,2019,0.2177,%,Total,EEA,30-Sep-20
SK,2019,0.1117,%,Total,EEA,30-Sep-20
FI,2019,0.4223,%,Total,EEA,30-Sep-20
SE,2019,0.5576,%,Total,EEA,30-Sep-20
UK,2019,0.1239,%,Total,EEA,30-Sep-20
EU-28,2019,0.1868,%,Total,EEA,30-Sep-20
EU-27,2019,0.1948,%,Total,EEA,30-Sep-20
BE,2019,0.0675,%,Transport,EEA,30-Sep-20
BG,2019,0.0908,%,Transport,EEA,30-Sep-20
CZ,2019,0.0669,%,Transport,EEA,30-Sep-20
DK,2019,0.0694,%,Transport,EEA,30-Sep-20
DE,2019,0.0782,%,Transport,EEA,30-Sep-20
EE,2019,0.0319,%,Transport,EEA,30-Sep-20
IE,2019,0.0893,%,Transport,EEA,30-Sep-20
EL,2019,0.0379,%,Transport,EEA,30-Sep-20
ES,2019,0.0666,%,Transport,EEA,30-Sep-20
FR,2019,0.0895,%,Transport,EEA,30-Sep-20
HR,2019,0.0632,%,Transport,EEA,30-Sep-20
IT,2019,0.077,%,Transport,EEA,30-Sep-20
CY,2019,0.0301,%,Transport,EEA,30-Sep-20
LV,2019,0.0527,%,Transport,EEA,30-Sep-20
LT,2019,0.0396,%,Transport,EEA,30-Sep-20
LU,2019,0.0648,%,Transport,EEA,30-Sep-20
HU,2019,0.0787,%,Transport,EEA,30-Sep-20
MT,2019,0.0764,%,Transport,EEA,30-Sep-20
NL,2019,0.1142,%,Transport,EEA,30-Sep-20
AT,2019,0.0943,%,Transport,EEA,30-Sep-20
PL,2019,0.0588,%,Transport,EEA,30-Sep-20
PT,2019,0.09,%,Transport,EEA,30-Sep-20
RO,2019,0.0742,%,Transport,EEA,30-Sep-20
SI,2019,0.0551,%,Transport,EEA,30-Sep-20
SK,2019,0.0662,%,Transport,EEA,30-Sep-20
FI,2019,0.1743,%,Transport,EEA,30-Sep-20
SE,2019,0.3026,%,Transport,EEA,30-Sep-20
UK,2019,0.0872,%,Transport,EEA,30-Sep-20
EU-28,2019,0.0844,%,Transport,EEA,30-Sep-20
EU-27,2019,0.084,%,Transport,EEA,30-Sep-20
BE,2019,0.2036,%,Electricity,EEA,30-Sep-20
BG,2019,0.2349,%,Electricity,EEA,30-Sep-20
CZ,2019,0.1407,%,Electricity,EEA,30-Sep-20
DK,2019,0.6552,%,Electricity,EEA,30-Sep-20
DE,2019,0.4103,%,Electricity,EEA,30-Sep-20
EE,2019,0.2175,%,Electricity,EEA,30-Sep-20
IE,2019,0.3639,%,Electricity,EEA,30-Sep-20
EL,2019,0.3086,%,Electricity,EEA,30-Sep-20
ES,2019,0.3743,%,Electricity,EEA,30-Sep-20
FR,2019,0.2236,%,Electricity,EEA,30-Sep-20
HR,2019,0.503,%,Electricity,EEA,30-Sep-20
IT,2019,0.3503,%,Electricity,EEA,30-Sep-20
CY,2019,0.0977,%,Electricity,EEA,30-Sep-20
LV,2019,0.5279,%,Electricity,EEA,30-Sep-20
LT,2019,0.1978,%,Electricity,EEA,30-Sep-20
LU,2019,0.1064,%,Electricity,EEA,30-Sep-20
HU,2019,0.098,%,Electricity,EEA,30-Sep-20
MT,2019,0.0786,%,Electricity,EEA,30-Sep-20
NL,2019,0.1756,%,Electricity,EEA,30-Sep-20
AT,2019,0.7394,%,Electricity,EEA,30-Sep-20
PL,2019,0.1415,%,Electricity,EEA,30-Sep-20
PT,2019,0.531,%,Electricity,EEA,30-Sep-20
