Project ID,Vintage,Offset Credit Serial Numbers,Quantity of Offset Credits,Status Effective,Project Name,Project Type,Protocol Version,Project Site Location,Project Site State,Project Site Country,Additional Certification(s),CORSIA Eligible,Account Holder,Retirement Reason,Retirement Reason Details,Date Issued,Retirement Year
ACR102,2003,ACR-US-102-2003-274-120158095 to 120158156,62,42367,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Sustain:Green,Environmental Benefit,Additional 2015 Retirement,38656,2015
ACR102,2003,ACR-US-102-2003-274-120158079 to 120158094,16,42313,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Sustain:Green,Environmental Benefit,2015 Q3 Bonus Retirement,38656,2015
ACR102,2003,ACR-US-102-2003-274-120158028 to 120158047,20,42296,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Sustain:Green,Environmental Benefit,2015-8,38656,2015
ACR102,2003,ACR-US-102-2003-274-120158048 to 120158078,31,42296,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Sustain:Green,Environmental Benefit,2015-9,38656,2015
ACR102,2003,ACR-US-102-2003-274-120158012 to 120158027,16,42257,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Sustain:Green,Environmental Benefit,2015 Q1&Q2 Bonus Retirement,38656,2015
ACR102,2003,ACR-US-102-2003-274-120157981 to 120158011,31,42254,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Sustain:Green,Environmental Benefit,2015-7,38656,2015
ACR102,2003,ACR-US-102-2003-274-120157970 to 120157980,11,42221,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Sustain:Green,Environmental Benefit,2015-6,38656,2015
ACR102,2003,ACR-US-102-2003-274-120157956 to 120157969,14,42185,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Sustain:Green,Environmental Benefit,2015-5,38656,2015
ACR102,2003,ACR-US-102-2003-274-120157932 to 120157955,24,42144,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Sustain:Green,Environmental Benefit,2015-4,38656,2015
ACR102,2003,ACR-US-102-2003-274-120157919 to 120157931,13,42114,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Sustain:Green,Environmental Benefit,2015-3,38656,2015
ACR102,2003,ACR-US-102-2003-274-120157890 to 120157895,6,42084,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Sustain:Green,Environmental Benefit,2015-01,38656,2015
ACR102,2003,ACR-US-102-2003-274-120157896 to 120157918,23,42084,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Sustain:Green,Environmental Benefit,2015-02,38656,2015
ACR102,2003,ACR-US-102-2003-274-120157882 to 120157889,8,42038,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Sustain:Green,Environmental Benefit,2014-12,38656,2015
ACR102,2003,ACR-US-102-2003-274-120157865 to 120157881,17,41991,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Sustain:Green,Environmental Benefit,2014-11,38656,2014
ACR102,2003,ACR-US-102-2003-274-120157857 to 120157864,8,41956,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Sustain:Green,Environmental Benefit,2014-10,38656,2014
ACR102,2005,ACR-US-102-2005-277-197115601 to 197125600,10000,41848,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,The Climate Trust,Retail Program Requirements,Donate to Offset program,38931,2014
ACR102,2003,ACR-US-102-2003-274-120157839 to 120157856,18,41288,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,"Carbon Capital Advisors, LLC",Environmental Benefit,To Offset the Carbon Footprint of the 2013 Environment and Clean Energy Inaugural Ball,38656,2013
ACR102,2003,ACR-US-102-2003-275-194110606 to 194110987,382,41288,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,"Carbon Capital Advisors, LLC",Environmental Benefit,To Offset the Carbon Footprint of the 2013 Environment and Clean Energy Inaugural Ball,38931,2013
ACR102,2003,ACR-US-102-2003-274-120157549 to 120157838,290,40977,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Nike+AMP Pilot Program,38656,2012
ACR102,2003,ACR-US-102-2003-274-120155873 to 120155874,2,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Alexander Schaefer,38656,2012
ACR102,2003,ACR-US-102-2003-274-120155920 to 120155924,5,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Anonymous,38656,2012
ACR102,2003,ACR-US-102-2003-274-120155875 to 120155894,20,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Anonymous,38656,2012
ACR102,2003,ACR-US-102-2003-274-120155895 to 120155899,5,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Anonymous,38656,2012
ACR102,2003,ACR-US-102-2003-274-120155900 to 120155919,20,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Anonymous,38656,2012
ACR102,2003,ACR-US-102-2003-274-120155925 to 120155939,15,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Anonymous,38656,2012
ACR102,2003,ACR-US-102-2003-274-120155940 to 120155941,2,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Anonymous,38656,2012
ACR102,2003,ACR-US-102-2003-274-120155942 to 120155961,20,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Barbara H. North,38656,2012
ACR102,2003,ACR-US-102-2003-274-120155962 to 120155965,4,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of George Philippidis,38656,2012
ACR102,2003,ACR-US-102-2003-274-120155966 to 120155970,5,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Janan Apaydin,38656,2012
ACR102,2003,ACR-US-102-2003-274-120155971 to 120155975,5,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Joseph Pancer,38656,2012
ACR102,2003,ACR-US-102-2003-274-120155976 to 120155980,5,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Kate deRiel,38656,2012
ACR102,2003,ACR-US-102-2003-274-120155981 to 120155985,5,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Katherine Wires,38656,2012
ACR102,2003,ACR-US-102-2003-274-120155986 to 120155990,5,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Kathleen Stewart,38656,2012
ACR102,2003,ACR-US-102-2003-274-120155991 to 120155992,2,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Lucas Baigorria,38656,2012
