Date Issued,Project ID,Project Name,Project Developer,Project Type,Protocol Version,ARB Eligible,CORSIA Qualified,Vintage,"Issuance 
Year",Total Credits Issued,Credits Issued to Project,Credits Issued to Buffer Pool,Project Site Location,Project Site State,Project Site Country,Additional Certification(s),Verifier,Project Website
8/2/06,ACR102,Air Bag Gas Substitution,Nike,Industrial Gas Substitution,Version 1.0,No,No,2005,2006,3081011,3081011,0,Beaverton,OREGON,US,,ERT,
8/2/06,ACR102,Air Bag Gas Substitution,Nike,Industrial Gas Substitution,Version 1.0,No,No,2004,2006,3004613,3004613,0,Beaverton,OREGON,US,,ERT,
8/2/06,ACR102,Air Bag Gas Substitution,Nike,Industrial Gas Substitution,Version 1.0,No,No,2003,2006,382,382,0,Beaverton,OREGON,US,,ERT,
10/31/05,ACR102,Air Bag Gas Substitution,Nike,Industrial Gas Substitution,Version 1.0,No,No,2003,2005,1898000,1898000,0,Beaverton,OREGON,US,,ERT,
12/23/10,ACR103,Inland Empire Anaerobic Ag Digester,Inland Empire Utilities Agency,Livestock Waste Management,Version 1.0,No,No,2009,2010,1033,1033,0,Chino,CALIFORNIA,US,,Ruby Canyon Environment,
12/23/10,ACR103,Inland Empire Anaerobic Ag Digester,Inland Empire Utilities Agency,Livestock Waste Management,Version 1.0,No,No,2008,2010,13210,13210,0,Chino,CALIFORNIA,US,,Ruby Canyon Environment,
7/15/08,ACR103,Inland Empire Anaerobic Ag Digester,Inland Empire Utilities Agency,Livestock Waste Management,Version 1.0,No,No,2007,2008,7998,7998,0,Chino,CALIFORNIA,US,,ERT,
7/14/08,ACR103,Inland Empire Anaerobic Ag Digester,Inland Empire Utilities Agency,Livestock Waste Management,Version 1.0,No,No,2006,2008,3632,3632,0,Chino,CALIFORNIA,US,,ERT,
12/11/06,ACR103,Inland Empire Anaerobic Ag Digester,Inland Empire Utilities Agency,Livestock Waste Management,Version 1.0,No,No,2005,2006,4409,4409,0,Chino,CALIFORNIA,US,,ERT,
3/17/06,ACR103,Inland Empire Anaerobic Ag Digester,Inland Empire Utilities Agency,Livestock Waste Management,Version 1.0,No,No,2004,2006,23,23,0,Chino,CALIFORNIA,US,,ERT,
3/17/06,ACR103,Inland Empire Anaerobic Ag Digester,Inland Empire Utilities Agency,Livestock Waste Management,Version 1.0,No,No,2003,2006,49,49,0,Chino,CALIFORNIA,US,,ERT,
1/1/05,ACR103,Inland Empire Anaerobic Ag Digester,Inland Empire Utilities Agency,Livestock Waste Management,Version 1.0,No,No,2004,2005,5825,5825,0,Chino,CALIFORNIA,US,,ERT,
1/1/05,ACR103,Inland Empire Anaerobic Ag Digester,Inland Empire Utilities Agency,Livestock Waste Management,Version 1.0,No,No,2003,2005,8023,8023,0,Chino,CALIFORNIA,US,,ERT,
8/22/12,ACR105,Boa Vista A/R,F.I.T Timber Ltd,Forest Carbon,Version 5.2.0,No,No,2011,2012,3674586,2572210,1102376,Boa Vista,Roraima,BR,Clean Water and Sanitation;Climate Action;Life on Land,SCS Global Services (Scientific Certification Systems),
8/30/07,ACR106,Brickyard LFG to Energy,Biogas Energy Solutions,Landfill Gas Capture & Combustion,Version 1.0,No,No,2007,2007,43162,43162,0,Danville,ILLINOIS,US,,ERT,
8/30/07,ACR106,Brickyard LFG to Energy,Biogas Energy Solutions,Landfill Gas Capture & Combustion,Version 1.0,No,No,2006,2007,95330,95330,0,Danville,ILLINOIS,US,,ERT,
7/23/08,ACR107,Camargo Fuel Substitution,E+Co,Fuel Switching,Version 1.0,No,No,2008,2008,128,128,0,Camargo,Nor Ciniti,BO,,CONSOT SRL – SERVICIOS DE CONSULTORIA,
7/23/08,ACR107,Camargo Fuel Substitution,E+Co,Fuel Switching,Version 1.0,No,No,2007,2008,342,342,0,Camargo,Nor Ciniti,BO,,CONSOT SRL – SERVICIOS DE CONSULTORIA,
7/23/08,ACR107,Camargo Fuel Substitution,E+Co,Fuel Switching,Version 1.0,No,No,2006,2008,352,352,0,Camargo,Nor Ciniti,BO,,CONSOT SRL – SERVICIOS DE CONSULTORIA,
7/23/08,ACR107,Camargo Fuel Substitution,E+Co,Fuel Switching,Version 1.0,No,No,2005,2008,316,316,0,Camargo,Nor Ciniti,BO,,CONSOT SRL – SERVICIOS DE CONSULTORIA,
7/30/14,ACR109,Chesapeake Mizer Pneumatic Retrofit,Chesapeake Energy,Industrial Process Emissions,Version 1.1,No,No,2013,2014,84182,84182,0,"Oklahoma, Texas, New Mexico, Kansas and Arkansas",OKLAHOMA,US,"Affordable and Clean Energy;Industry, Innovation and Infrastructure;Climate Action","Det Norske Veritas (U.S.A.), Inc.",
7/30/14,ACR109,Chesapeake Mizer Pneumatic Retrofit,Chesapeake Energy,Industrial Process Emissions,Version 1.1,No,No,2012,2014,92762,92762,0,"Oklahoma, Texas, New Mexico, Kansas and Arkansas",OKLAHOMA,US,"Affordable and Clean Energy;Industry, Innovation and Infrastructure;Climate Action","Det Norske Veritas (U.S.A.), Inc.",
7/30/14,ACR109,Chesapeake Mizer Pneumatic Retrofit,Chesapeake Energy,Industrial Process Emissions,Version 1.1,No,No,2011,2014,105596,105596,0,"Oklahoma, Texas, New Mexico, Kansas and Arkansas",OKLAHOMA,US,"Affordable and Clean Energy;Industry, Innovation and Infrastructure;Climate Action","Det Norske Veritas (U.S.A.), Inc.",
7/30/14,ACR109,Chesapeake Mizer Pneumatic Retrofit,Chesapeake Energy,Industrial Process Emissions,Version 1.1,No,No,2010,2014,28241,28241,0,"Oklahoma, Texas, New Mexico, Kansas and Arkansas",OKLAHOMA,US,"Affordable and Clean Energy;Industry, Innovation and Infrastructure;Climate Action","Det Norske Veritas (U.S.A.), Inc.",
