Project ID,Vintage,Offset Credit Serial Numbers,Quantity of Offset Credits,Status Effective,Project Name,Project Type,Protocol Version,Project Site Location,Project Site State,Project Site Country,Additional Certification(s) / SDGs,ARB Eligible,Account Holder,Retirement Reason,Retirement Reason Details,Date Issued,Retirement Year
ACR102,2003,ACR-US-102-2003-274-120158095 to 120158156,62,12/29/15,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,Environmental Benefit,Additional 2015 Retirement,10/31/05,2015
ACR102,2003,ACR-US-102-2003-274-120158079 to 120158094,16,11/5/15,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,Environmental Benefit,2015 Q3 Bonus Retirement,10/31/05,2015
ACR102,2003,ACR-US-102-2003-274-120158048 to 120158078,31,10/19/15,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,Environmental Benefit,2015-9,10/31/05,2015
ACR102,2003,ACR-US-102-2003-274-120158028 to 120158047,20,10/19/15,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,Environmental Benefit,2015-8,10/31/05,2015
ACR102,2003,ACR-US-102-2003-274-120158012 to 120158027,16,9/10/15,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,Environmental Benefit,2015 Q1&Q2 Bonus Retirement,10/31/05,2015
ACR102,2003,ACR-US-102-2003-274-120157981 to 120158011,31,9/7/15,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,Environmental Benefit,2015-7,10/31/05,2015
ACR102,2003,ACR-US-102-2003-274-120157970 to 120157980,11,8/5/15,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,Environmental Benefit,2015-6,10/31/05,2015
ACR102,2003,ACR-US-102-2003-274-120157956 to 120157969,14,6/30/15,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,Environmental Benefit,2015-5,10/31/05,2015
ACR102,2003,ACR-US-102-2003-274-120157932 to 120157955,24,5/20/15,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,Environmental Benefit,2015-4,10/31/05,2015
ACR102,2003,ACR-US-102-2003-274-120157919 to 120157931,13,4/20/15,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,Environmental Benefit,2015-3,10/31/05,2015
