Project ID,Vintage,Offset Credit Serial Numbers,Quantity of Offset Credits,Status Effective,Project Name,Project Type,Protocol Version,Project Site Location,Project Site State,Project Site Country,Additional Certification(s) / SDGs,CORSIA Eligible,Account Holder,Retirement Reason,Retirement Reason Details,Retirement Year,CAR Retirement Data
CAR1008,2015,CAR-1-US-1008-27-845-WA-2015-2010-1 to 8645,8645,10/11/19,Washington Beef LLC Greenhouse Gas and Solids Reduction Project,Organic Waste Digestion,Version 2.0,Yakima County,WASHINGTON,US,,No,Seattle City Light,Environmental Benefit,Applied to EY 2017,2019,
CAR1008,2014,CAR-1-US-1008-27-845-WA-2014-1806-1 to 440,440,10/11/19,Washington Beef LLC Greenhouse Gas and Solids Reduction Project,Organic Waste Digestion,Version 2.0,Yakima County,WASHINGTON,US,,No,Seattle City Light,Environmental Benefit,Applied to EY 2016,2019,
CAR1008,2014,CAR-1-US-1008-27-845-WA-2014-1806-9642 to 19980,10339,10/11/19,Washington Beef LLC Greenhouse Gas and Solids Reduction Project,Organic Waste Digestion,Version 2.0,Yakima County,WASHINGTON,US,,No,Seattle City Light,Environmental Benefit,Applied to EY 2016,2019,
CAR1008,2017,CAR-1-US-1008-27-845-WA-2017-5554-1 to 11806,11806,9/12/18,Washington Beef LLC Greenhouse Gas and Solids Reduction Project,Organic Waste Digestion,Version 2.0,Yakima County,WASHINGTON,US,,No,The Climate Trust,Compliance Requirements,Retired on behalf of PGE's Carty Facility,2018,
CAR1008,2014,CAR-1-US-1008-27-845-WA-2014-1806-441 to 9641,9201,1/19/18,Washington Beef LLC Greenhouse Gas and Solids Reduction Project,Organic Waste Digestion,Version 2.0,Yakima County,WASHINGTON,US,,No,Seattle City Light,Environmental Benefit,,2018,
CAR1008,2013,CAR-1-US-1008-27-845-WA-2013-1520-1 to 19515,19515,1/19/18,Washington Beef LLC Greenhouse Gas and Solids Reduction Project,Organic Waste Digestion,Version 2.0,Yakima County,WASHINGTON,US,,No,Seattle City Light,Environmental Benefit,,2018,
CAR1008,2016,CAR-1-US-1008-27-845-WA-2016-4279-1 to 16249,16249,9/26/17,Washington Beef LLC Greenhouse Gas and Solids Reduction Project,Organic Waste Digestion,Version 2.0,Yakima County,WASHINGTON,US,,No,The Climate Trust,Compliance Requirements,Retired on behalf of PGE's Carty facility,2017,
CAR1008,2015,CAR-1-US-1008-27-845-WA-2015-2010-8646 to 18798,10153,5/18/16,Washington Beef LLC Greenhouse Gas and Solids Reduction Project,Organic Waste Digestion,Version 2.0,Yakima County,WASHINGTON,US,,No,The Climate Trust,Compliance Requirements,Retired on behalf of PGE's Carty Facility,2016,
CAR1009,2014,CAR-1-US-1009-5-818-OR-2014-1950-1 to 54101,54101,1/19/16,Threemile Canyon Farm Digester Project,Livestock Gas Capture/Combustion,Version 3.0,Morrow County: Near Boardman,OREGON,US,,No,The Climate Trust,Compliance Requirements,Retired as part of PGE PW2 plant OR CO2 Standard,2016,
CAR1009,2014,CAR-1-US-1009-5-818-OR-2014-1950-54102 to 67201,13100,1/19/16,Threemile Canyon Farm Digester Project,Livestock Gas Capture/Combustion,Version 3.0,Morrow County: Near Boardman,OREGON,US,,No,The Climate Trust,Compliance Requirements,Retired for PGE Carty plant OR CO2 Standard,2016,
CAR1009,2013,CAR-1-US-1009-5-818-OR-2013-1951-1 to 15000,15000,1/19/16,Threemile Canyon Farm Digester Project,Livestock Gas Capture/Combustion,Version 3.0,Morrow County: Near Boardman,OREGON,US,,No,The Climate Trust,Retail Program Requirements,Retired for NWN Smart Energy program customers,2016,
CAR1009,2013,CAR-1-US-1009-5-818-OR-2013-1951-15001 to 40580,25580,1/19/16,Threemile Canyon Farm Digester Project,Livestock Gas Capture/Combustion,Version 3.0,Morrow County: Near Boardman,OREGON,US,,No,The Climate Trust,Compliance Requirements,Retired as part of PGE PW2 plant OR CO2 Standard,2016,
CAR101,2008,CAR-1-US-101-1-101-CA-2008-210-72831 to 72857,27,12/15/15,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,California Environmental Associates,2015,
CAR101,2007,CAR-1-US-101-1-101-CA-2007-1581-9138 to 9169,32,1/2/15,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,California Environmental Associates,2015,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-8537 to 8596,60,11/6/14,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,Select PG&E employees,2014,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-8037 to 8536,500,11/5/14,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,City/County of San Francisco - Sustainable Journey,2014,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-5392 to 5398,7,11/5/14,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,for Eileen Wenger Tutt,2014,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-5007 to 5391,385,11/5/14,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,3Degrees Inc.,On Behalf of Third Party,,2014,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-5516 to 5516,1,11/5/14,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,The California Assembly Democratic Caucus,2014,
