Unique Vintages,Project ID,VCS + ID,Vintage Year ,Issuance Date,Issuance Year,Project Name,Credits Issued
1-2007-12630,1,VCS1,2007,03/19/2009,2009,7.25 MW wind energy project of Aruppukottai Sri Jayavilas Ltd,12630
1-2006-9074,1,VCS1,2006,03/19/2009,2009,7.25 MW wind energy project of Aruppukottai Sri Jayavilas Ltd,9074
10-2015-1166559,10,VCS10,2015,06/09/2021,2021,BAESA Project,1166559
10-2014-1487731,10,VCS10,2014,06/09/2021,2021,BAESA Project,1487731
10-2013-1025775,10,VCS10,2013,05/27/2021,2021,BAESA Project,1025775
10-2012-473751,10,VCS10,2012,05/27/2021,2021,BAESA Project,473751
10-2011-432435,10,VCS10,2011,05/27/2021,2021,BAESA Project,432435
10-2010-902136,10,VCS10,2010,04/11/2012,2012,BAESA Project,902136
10-2009-210076,10,VCS10,2009,04/11/2012,2012,BAESA Project,210076
10-2008-505908,10,VCS10,2008,04/22/2009,2009,BAESA Project,505908
10-2007-368968,10,VCS10,2007,04/22/2009,2009,BAESA Project,368968
10-2006-153460,10,VCS10,2006,04/22/2009,2009,BAESA Project,153460
100-2011-3911,100,VCS100,2011,09/04/2013,2013,Boiler fuel conversion from Furnace Oil to Bagasse at Biltube Core Boards Ltd,3911
100-2010-9547,100,VCS100,2010,09/04/2013,2013,Boiler fuel conversion from Furnace Oil to Bagasse at Biltube Core Boards Ltd,9547
100-2009-3794,100,VCS100,2009,09/04/2013,2013,Boiler fuel conversion from Furnace Oil to Bagasse at Biltube Core Boards Ltd,3794
100-2009-5727,100,VCS100,2009,07/13/2010,2010,Boiler fuel conversion from Furnace Oil to Bagasse at Biltube Core Boards Ltd,5727
100-2008-9829,100,VCS100,2008,07/13/2010,2010,Boiler fuel conversion from Furnace Oil to Bagasse at Biltube Core Boards Ltd,9829
100-2007-3173,100,VCS100,2007,07/13/2010,2010,Boiler fuel conversion from Furnace Oil to Bagasse at Biltube Core Boards Ltd,3173
100-2007-3243,100,VCS100,2007,09/11/2009,2009,Boiler fuel conversion from Furnace Oil to Bagasse at Biltube Core Boards Ltd,3243
100-2006-4551,100,VCS100,2006,09/11/2009,2009,Boiler fuel conversion from Furnace Oil to Bagasse at Biltube Core Boards Ltd,4551
100-2005-3240,100,VCS100,2005,09/11/2009,2009,Boiler fuel conversion from Furnace Oil to Bagasse at Biltube Core Boards Ltd,3240
1001-2019-54164,1001,VCS1001,2019,01/23/2020,2020,Inner Mongolia Yihewusu Phase II 49.5 MW Wind Power Project,54164
1001-2018-109799,1001,VCS1001,2018,01/23/2020,2020,Inner Mongolia Yihewusu Phase II 49.5 MW Wind Power Project,109799
1001-2016-110617,1001,VCS1001,2016,12/10/2019,2019,Inner Mongolia Yihewusu Phase II 49.5 MW Wind Power Project,110617
1001-2015-3269,1001,VCS1001,2015,12/10/2019,2019,Inner Mongolia Yihewusu Phase II 49.5 MW Wind Power Project,3269
1001-2017-110698,1001,VCS1001,2017,11/06/2019,2019,Inner Mongolia Yihewusu Phase II 49.5 MW Wind Power Project,110698
1001-2010-88506,1001,VCS1001,2010,04/15/2013,2013,Inner Mongolia Yihewusu Phase II 49.5 MW Wind Power Project,88506
1001-2009-46759,1001,VCS1001,2009,04/15/2013,2013,Inner Mongolia Yihewusu Phase II 49.5 MW Wind Power Project,46759
1002-2011-729315,1002,VCS1002,2011,11/12/2019,2019,"Natural Gas based grid connected power project at Peddapuram, A.P. by Gautami Power Limited",729315
1002-2009-674253,1002,VCS1002,2009,07/23/2019,2019,"Natural Gas based grid connected power project at Peddapuram, A.P. by Gautami Power Limited",674253
1002-2010-1197415,1002,VCS1002,2010,11/13/2018,2018,"Natural Gas based grid connected power project at Peddapuram, A.P. by Gautami Power Limited",1197415
1006-2016-7092,1006,VCS1006,2016,09/22/2017,2017,Bursa Light Rail System II Phase,7092
101-2007-62796,101,VCS101,2007,09/11/2009,2009,Bagasse based Co-generation Power Project at Khatauli,62796
101-2006-29557,101,VCS101,2006,09/11/2009,2009,Bagasse based Co-generation Power Project at Khatauli,29557
1018-2012-221294,1018,VCS1018,2012,10/07/2013,2013,Wind power project in Tamil Nadu by SWPPL,221294
1018-2011-91272,1018,VCS1018,2011,10/07/2013,2013,Wind power project in Tamil Nadu by SWPPL,91272
1019-2019-78995,1019,VCS1019,2019,11/03/2021,2021,Niksar Hydroelectric Power Plant,78995
1019-2018-79580,1019,VCS1019,2018,11/03/2021,2021,Niksar Hydroelectric Power Plant,79580
1019-2017-79683,1019,VCS1019,2017,11/03/2021,2021,Niksar Hydroelectric Power Plant,79683
1019-2016-139943,1019,VCS1019,2016,11/03/2021,2021,Niksar Hydroelectric Power Plant,139943
1019-2015-129427,1019,VCS1019,2015,11/03/2021,2021,Niksar Hydroelectric Power Plant,129427
1019-2014-35255,1019,VCS1019,2014,11/03/2021,2021,Niksar Hydroelectric Power Plant,35255
1019-2013-40656,1019,VCS1019,2013,11/03/2021,2021,Niksar Hydroelectric Power Plant,40656
1019-2013-80965,1019,VCS1019,2013,05/13/2014,2014,Niksar Hydroelectric Power Plant,80965
1019-2012-60764,1019,VCS1019,2012,05/13/2014,2014,Niksar Hydroelectric Power Plant,60764
102-2008-56282,102,VCS102,2008,09/11/2009,2009,6 MW Rice Husk based cogeneration plant at Bhageshwari Papers Private Limited,56282
1020-2020-23122,1020,VCS1020,2020,09/16/2021,2021,Solar Power Plant of 15MW in Gujarat by Palace Solar Energy Private Limited,23122
1020-2019-22628,1020,VCS1020,2019,09/16/2021,2021,Solar Power Plant of 15MW in Gujarat by Palace Solar Energy Private Limited,22628
1020-2018-8966,1020,VCS1020,2018,09/16/2021,2021,Solar Power Plant of 15MW in Gujarat by Palace Solar Energy Private Limited,8966
1020-2018-14005,1020,VCS1020,2018,03/29/2019,2019,Solar Power Plant of 15MW in Gujarat by Palace Solar Energy Private Limited,14005
1020-2017-23310,1020,VCS1020,2017,03/02/2019,2019,Solar Power Plant of 15MW in Gujarat by Palace Solar Energy Private Limited,23310
1020-2016-24331,1020,VCS1020,2016,03/02/2019,2019,Solar Power Plant of 15MW in Gujarat by Palace Solar Energy Private Limited,24331
1020-2015-8001,1020,VCS1020,2015,03/02/2019,2019,Solar Power Plant of 15MW in Gujarat by Palace Solar Energy Private Limited,8001
1020-2015-16192,1020,VCS1020,2015,04/07/2016,2016,Solar Power Plant of 15MW in Gujarat by Palace Solar Energy Private Limited,16192
1020-2014-24730,1020,VCS1020,2014,04/07/2016,2016,Solar Power Plant of 15MW in Gujarat by Palace Solar Energy Private Limited,24730
1020-2013-25004,1020,VCS1020,2013,04/07/2016,2016,Solar Power Plant of 15MW in Gujarat by Palace Solar Energy Private Limited,25004
1020-2012-19617,1020,VCS1020,2012,04/07/2016,2016,Solar Power Plant of 15MW in Gujarat by Palace Solar Energy Private Limited,19617
1021-2020-7093,1021,VCS1021,2020,05/13/2021,2021,Grid Connected Wind Power Project by M/s. D. J. Malpani in Rajasthan,7093
1021-2019-8885,1021,VCS1021,2019,05/13/2021,2021,Grid Connected Wind Power Project by M/s. D. J. Malpani in Rajasthan,8885
1021-2018-8468,1021,VCS1021,2018,05/13/2021,2021,Grid Connected Wind Power Project by M/s. D. J. Malpani in Rajasthan,8468
1021-2017-9632,1021,VCS1021,2017,05/13/2021,2021,Grid Connected Wind Power Project by M/s. D. J. Malpani in Rajasthan,9632
1021-2016-853,1021,VCS1021,2016,05/13/2021,2021,Grid Connected Wind Power Project by M/s. D. J. Malpani in Rajasthan, 	853 
1022-2012-3787,1022,VCS1022,2012,07/20/2021,2021,"Grid Connected Wind Power Project by M/s. D. J. Malpani at Ratan Ka Bas (RKB), Rajasthan",3787
1022-2011-327,1022,VCS1022,2011,07/20/2021,2021,"Grid Connected Wind Power Project by M/s. D. J. Malpani at Ratan Ka Bas (RKB), Rajasthan", 	327 
1022-2020-4744,1022,VCS1022,2020,06/21/2021,2021,"Grid Connected Wind Power Project by M/s. D. J. Malpani at Ratan Ka Bas (RKB), Rajasthan",4744
1022-2019-6941,1022,VCS1022,2019,06/21/2021,2021,"Grid Connected Wind Power Project by M/s. D. J. Malpani at Ratan Ka Bas (RKB), Rajasthan",6941
1022-2018-6718,1022,VCS1022,2018,06/21/2021,2021,"Grid Connected Wind Power Project by M/s. D. J. Malpani at Ratan Ka Bas (RKB), Rajasthan",6718
1022-2017-6920,1022,VCS1022,2017,06/21/2021,2021,"Grid Connected Wind Power Project by M/s. D. J. Malpani at Ratan Ka Bas (RKB), Rajasthan",6920
1022-2016-828,1022,VCS1022,2016,06/21/2021,2021,"Grid Connected Wind Power Project by M/s. D. J. Malpani at Ratan Ka Bas (RKB), Rajasthan", 	828 
1023-2019-22473,1023,VCS1023,2019,06/21/2021,2021,Grid Connected Wind Power Project by M/s. Giriraj Enterprises in Madhya Pradesh,22473
1023-2018-25507,1023,VCS1023,2018,06/21/2021,2021,Grid Connected Wind Power Project by M/s. Giriraj Enterprises in Madhya Pradesh,25507
1023-2017-22939,1023,VCS1023,2017,06/21/2021,2021,Grid Connected Wind Power Project by M/s. Giriraj Enterprises in Madhya Pradesh,22939
1023-2016-1839,1023,VCS1023,2016,06/21/2021,2021,Grid Connected Wind Power Project by M/s. Giriraj Enterprises in Madhya Pradesh,1839
1023-2012-24102,1023,VCS1023,2012,04/01/2016,2016,Grid Connected Wind Power Project by M/s. Giriraj Enterprises in Madhya Pradesh,24102
1023-2011-12446,1023,VCS1023,2011,08/31/2015,2015,Grid Connected Wind Power Project by M/s. Giriraj Enterprises in Madhya Pradesh,12446
1024-2020-8514,1024,VCS1024,2020,06/10/2021,2021,"Grid Connected Wind Power Project by M/s. Giriraj Enterprises at Tejuva, Rajasthan",8514
1024-2019-11171,1024,VCS1024,2019,06/10/2021,2021,"Grid Connected Wind Power Project by M/s. Giriraj Enterprises at Tejuva, Rajasthan",11171
1024-2018-10978,1024,VCS1024,2018,06/10/2021,2021,"Grid Connected Wind Power Project by M/s. Giriraj Enterprises at Tejuva, Rajasthan",10978
1024-2017-10964,1024,VCS1024,2017,06/10/2021,2021,"Grid Connected Wind Power Project by M/s. Giriraj Enterprises at Tejuva, Rajasthan",10964
1024-2016-1026,1024,VCS1024,2016,06/10/2021,2021,"Grid Connected Wind Power Project by M/s. Giriraj Enterprises at Tejuva, Rajasthan",1026
1026-2018-4713,1026,VCS1026,2018,03/28/2019,2019,Solar Power Plant of 5 MW in Rajasthan by Essel Mining and Refex Refrigerants Limited,4713
1026-2017-8213,1026,VCS1026,2017,03/28/2019,2019,Solar Power Plant of 5 MW in Rajasthan by Essel Mining and Refex Refrigerants Limited,8213
1026-2016-8399,1026,VCS1026,2016,03/28/2019,2019,Solar Power Plant of 5 MW in Rajasthan by Essel Mining and Refex Refrigerants Limited,8399
1026-2015-2753,1026,VCS1026,2015,03/28/2019,2019,Solar Power Plant of 5 MW in Rajasthan by Essel Mining and Refex Refrigerants Limited,2753
1026-2015-32149,1026,VCS1026,2015,04/07/2016,2016,Solar Power Plant of 5 MW in Rajasthan by Essel Mining and Refex Refrigerants Limited,32149
1028-2011-9244,1028,VCS1028,2011,05/28/2014,2014,San Clemente Hydroelectric Power Plant,9244
103-2007-5375,103,VCS103,2007,09/11/2009,2009,RIMA Fuel Switch in Bocaiúva,5375
103-2006-18311,103,VCS103,2006,09/11/2009,2009,RIMA Fuel Switch in Bocaiúva,18311
1030-2013-7939,1030,VCS1030,2013,10/22/2013,2013,"Fuel Switch to Renewable Biomass for Thermal Use at Metrolina Greenhouses, Inc. Commercial Greenhouse Facility",7939
1030-2012-9984,1030,VCS1030,2012,10/22/2013,2013,"Fuel Switch to Renewable Biomass for Thermal Use at Metrolina Greenhouses, Inc. Commercial Greenhouse Facility",9984
1030-2011-4089,1030,VCS1030,2011,10/22/2013,2013,"Fuel Switch to Renewable Biomass for Thermal Use at Metrolina Greenhouses, Inc. Commercial Greenhouse Facility",4089
1031-2011-79544,1031,VCS1031,2011,08/09/2013,2013,Dak Psi 3 and 4 Hydropower Project,79544
1032-2018-14639,1032,VCS1032,2018,11/10/2020,2020,Xundian Jinfeng 12.6MW Hydropower Project,14639
1032-2019-10906,1032,VCS1032,2019,11/06/2020,2020,Xundian Jinfeng 12.6MW Hydropower Project,10906
1032-2018-5449,1032,VCS1032,2018,09/02/2020,2020,Xundian Jinfeng 12.6MW Hydropower Project,5449
1032-2016-42310,1032,VCS1032,2016,09/02/2020,2020,Xundian Jinfeng 12.6MW Hydropower Project,42310
1032-2015-37433,1032,VCS1032,2015,09/02/2020,2020,Xundian Jinfeng 12.6MW Hydropower Project,37433
1032-2014-33458,1032,VCS1032,2014,09/02/2020,2020,Xundian Jinfeng 12.6MW Hydropower Project,33458
1032-2013-25553,1032,VCS1032,2013,09/02/2020,2020,Xundian Jinfeng 12.6MW Hydropower Project,25553
1032-2017-44948,1032,VCS1032,2017,06/18/2020,2020,Xundian Jinfeng 12.6MW Hydropower Project,44948
1032-2010-2808,1032,VCS1032,2010,09/16/2014,2014,Xundian Jinfeng 12.6MW Hydropower Project,2808
1032-2009-26088,1032,VCS1032,2009,09/16/2014,2014,Xundian Jinfeng 12.6MW Hydropower Project,26088
1032-2008-33493,1032,VCS1032,2008,11/06/2013,2013,Xundian Jinfeng 12.6MW Hydropower Project,33493
1033-2011-84848,1033,VCS1033,2011,05/30/2013,2013,Hubei Dangyang 25MW Biomass Power Project,84848
1033-2010-105900,1033,VCS1033,2010,05/30/2013,2013,Hubei Dangyang 25MW Biomass Power Project,105900
1034-2012-89341,1034,VCS1034,2012,11/20/2015,2015,Inner Mongolia Wutaohai South Phase II Wind Power Project,89341
1034-2012-10370,1034,VCS1034,2012,07/08/2014,2014,Inner Mongolia Wutaohai South Phase II Wind Power Project,10370
1034-2011-121291,1034,VCS1034,2011,07/07/2014,2014,Inner Mongolia Wutaohai South Phase II Wind Power Project,121291
1034-2010-103838,1034,VCS1034,2010,01/28/2014,2014,Inner Mongolia Wutaohai South Phase II Wind Power Project,103838
1035-2012-85136,1035,VCS1035,2012,08/27/2013,2013,Inner Mongolia Keshiketeng County Wutaohai South Wind Farm 49.5 MW Project,85136
1035-2011-103660,1035,VCS1035,2011,08/27/2013,2013,Inner Mongolia Keshiketeng County Wutaohai South Wind Farm 49.5 MW Project,103660
1035-2010-137260,1035,VCS1035,2010,07/28/2013,2013,Inner Mongolia Keshiketeng County Wutaohai South Wind Farm 49.5 MW Project,137260
1035-2009-145280,1035,VCS1035,2009,07/28/2013,2013,Inner Mongolia Keshiketeng County Wutaohai South Wind Farm 49.5 MW Project,145280
1036-2014-52844,1036,VCS1036,2014,06/14/2019,2019,Hillsborough County Waste to Energy (WtE) Facility 2009 Capital Expansion Unit 4,52844
1036-2013-54595,1036,VCS1036,2013,03/27/2019,2019,Hillsborough County Waste to Energy (WtE) Facility 2009 Capital Expansion Unit 4,54595
1036-2009-9147,1036,VCS1036,2009,03/27/2019,2019,Hillsborough County Waste to Energy (WtE) Facility 2009 Capital Expansion Unit 4,9147
1036-2012-52210,1036,VCS1036,2012,02/28/2019,2019,Hillsborough County Waste to Energy (WtE) Facility 2009 Capital Expansion Unit 4,52210
1036-2017-39350,1036,VCS1036,2017,02/14/2019,2019,Hillsborough County Waste to Energy (WtE) Facility 2009 Capital Expansion Unit 4,39350
1036-2016-44979,1036,VCS1036,2016,02/14/2019,2019,Hillsborough County Waste to Energy (WtE) Facility 2009 Capital Expansion Unit 4,44979
1036-2015-26851,1036,VCS1036,2015,02/14/2019,2019,Hillsborough County Waste to Energy (WtE) Facility 2009 Capital Expansion Unit 4,26851
1036-2010-33383,1036,VCS1036,2010,02/05/2014,2014,Hillsborough County Waste to Energy (WtE) Facility 2009 Capital Expansion Unit 4,33383
1037-2011-309444,1037,VCS1037,2011,12/22/2013,2013,"Guazhou Beidaqiao No.1 Wind Farm Project in Gansu Province, China",309444
1038-2008-66318,1038,VCS1038,2008,04/23/2014,2014,Chile: Hornitos Hydroelectric Project,66318
104-2007-14541,104,VCS104,2007,09/11/2009,2009,Wood waste-to-energy project at Sawmill-25 (Arkhangelsk),14541
104-2006-13111,104,VCS104,2006,09/11/2009,2009,Wood waste-to-energy project at Sawmill-25 (Arkhangelsk),13111
1040-2010-82755,1040,VCS1040,2010,09/15/2015,2015,Inner Mongolia Hangjin Yihewusu Wind Power Project,82755
1040-2009-101421,1040,VCS1040,2009,09/15/2015,2015,Inner Mongolia Hangjin Yihewusu Wind Power Project,101421
1040-2008-97911,1040,VCS1040,2008,01/09/2014,2014,Inner Mongolia Hangjin Yihewusu Wind Power Project,97911
1041-2012-123640,1041,VCS1041,2012,06/18/2013,2013,OAxaca IV Wind Energy Project,123640
1042-2012-121339,1042,VCS1042,2012,06/17/2013,2013,Oaxaca III Wind Energy Project,121339
1043-2012-120416,1043,VCS1043,2012,06/18/2013,2013,Oaxaca II Wind Energy Project,120416
1044-2012-38105,1044,VCS1044,2012,07/23/2013,2013,Ziqiang 18MW Hydropower Project in Guizhou Province China,38105
1044-2011-23115,1044,VCS1044,2011,07/23/2013,2013,Ziqiang 18MW Hydropower Project in Guizhou Province China,23115
1044-2010-1560,1044,VCS1044,2010,07/23/2013,2013,Ziqiang 18MW Hydropower Project in Guizhou Province China,1560
1045-2012-26350,1045,VCS1045,2012,03/16/2015,2015,"Wind  Power Project at Rajkot, Gujarat",26350
1049-2011-110366,1049,VCS1049,2011,05/27/2013,2013,Heilongjiang Bianfushan Wind Power Project,110366
1049-2010-107933,1049,VCS1049,2010,05/27/2013,2013,Heilongjiang Bianfushan Wind Power Project,107933
1049-2009-314,1049,VCS1049,2009,05/27/2013,2013,Heilongjiang Bianfushan Wind Power Project, 	314 
105-2008-20487,105,VCS105,2008,09/11/2009,2009,Maoshaping Hydro Power Project,20487
1050-2015-46060,1050,VCS1050,2015,04/24/2017,2017,Cermikler 25.00 MW Hydrolectric Power Plant Project,46060
1051-2012-11183,1051,VCS1051,2012,05/27/2013,2013,Heilongjiang Wangyunfeng Wind Power Project,11183
1051-2011-100028,1051,VCS1051,2011,05/27/2013,2013,Heilongjiang Wangyunfeng Wind Power Project,100028
1051-2010-83832,1051,VCS1051,2010,05/27/2013,2013,Heilongjiang Wangyunfeng Wind Power Project,83832
1052-2012-56209,1052,VCS1052,2012,03/26/2019,2019,North Pikounda REDD+,56209
1054-2016-4909,1054,VCS1054,2016,06/13/2018,2018,MRO Grouped Wind Projects Phase II,4909
1054-2015-4685,1054,VCS1054,2015,06/13/2018,2018,MRO Grouped Wind Projects Phase II,4685
1054-2014-5052,1054,VCS1054,2014,06/13/2018,2018,MRO Grouped Wind Projects Phase II,5052
1054-2013-2915,1054,VCS1054,2013,06/13/2018,2018,MRO Grouped Wind Projects Phase II,2915
1055-2017-990978,1055,VCS1055,2017,06/04/2021,2021,Reforesting Degraded Lands in Chile through the use of Mycorrhizal Inoculation,990978
1055-2012-402436,1055,VCS1055,2012,03/17/2015,2015,Reforesting Degraded Lands in Chile through the use of Mycorrhizal Inoculation,402436
1056-2012-43470,1056,VCS1056,2012,11/23/2015,2015,CECIC Zhangbei Gaojialiang Wind farm Project,43470
1056-2012-25061,1056,VCS1056,2012,11/23/2015,2015,CECIC Zhangbei Gaojialiang Wind farm Project,25061
1056-2011-9878,1056,VCS1056,2011,05/28/2013,2013,CECIC Zhangbei Gaojialiang Wind farm Project,9878
1056-2010-97498,1056,VCS1056,2010,05/28/2013,2013,CECIC Zhangbei Gaojialiang Wind farm Project,97498
1056-2009-66651,1056,VCS1056,2009,05/28/2013,2013,CECIC Zhangbei Gaojialiang Wind farm Project,66651
1058-2012-27347,1058,VCS1058,2012,08/28/2013,2013,Clean Energy Project in the State of Tamil Nadu,27347
1058-2011-869,1058,VCS1058,2011,08/28/2013,2013,Clean Energy Project in the State of Tamil Nadu, 	869 
106-2008-28975,106,VCS106,2008,09/11/2009,2009,"Taohua 9MW Hydro Power Project in Guizhou Province, China",28975
1060-2020-28785,1060,VCS1060,2020,09/08/2021,2021,Bethlehem Authority Improved Forest Management Project,28785
1060-2019-20745,1060,VCS1060,2019,02/24/2021,2021,Bethlehem Authority Improved Forest Management Project,20745
1060-2018-33668,1060,VCS1060,2018,08/15/2019,2019,Bethlehem Authority Improved Forest Management Project,33668
1060-2017-32393,1060,VCS1060,2017,10/31/2018,2018,Bethlehem Authority Improved Forest Management Project,32393
1060-2016-12887,1060,VCS1060,2016,07/10/2017,2017,Bethlehem Authority Improved Forest Management Project,12887
1060-2015-32401,1060,VCS1060,2015,06/20/2016,2016,Bethlehem Authority Improved Forest Management Project,32401
1060-2014-26466,1060,VCS1060,2014,07/08/2015,2015,Bethlehem Authority Improved Forest Management Project,26466
1060-2013-24589,1060,VCS1060,2013,08/28/2014,2014,Bethlehem Authority Improved Forest Management Project,24589
1060-2012-22027,1060,VCS1060,2012,05/14/2013,2013,Bethlehem Authority Improved Forest Management Project,22027
1061-2012-25728,1061,VCS1061,2012,12/05/2013,2013,Kentilux Wind Farm,25728
1063-2013-17014,1063,VCS1063,2013,12/22/2015,2015,Clean energy generation from wind energy in the state of Rajasthan,17014
1063-2012-13665,1063,VCS1063,2012,12/22/2015,2015,Clean energy generation from wind energy in the state of Rajasthan,13665
1063-2012-20908,1063,VCS1063,2012,05/27/2015,2015,Clean energy generation from wind energy in the state of Rajasthan,20908
1063-2011-10949,1063,VCS1063,2011,05/27/2015,2015,Clean energy generation from wind energy in the state of Rajasthan,10949
1066-2018-9875,1066,VCS1066,2018,02/05/2021,2021,Damlapinar Hydroelectric Power Plant Project,9875
