Project ID,Project Name,Voluntary Registry,"ARB Project",Voluntary Status,Scope, Type,Methodology / Protocol,Region,Country,State,Project Site Location,Project Developer,"Total Credits Issued","Total Credits Retired",Total Credits Remaining,First Year of Project,Issued by Reporting 1996,Issued by Reporting 1997,Issued by Reporting 1998,Issued by Reporting 1999,Issued by Reporting 2000,Issued by Reporting 2001,Issued by Reporting 2002,Issued by Reporting 2003,Issued by Reporting 2004,Issued by Reporting 2005,Issued by Reporting 2006,Issued by Reporting 2007,Issued by Reporting 2008,Issued by Reporting 2009,Issued by Reporting 2010,Issued by Reporting 2011,Issued by Reporting 2012,Issued by Reporting 2013,Issued by Reporting 2014,Issued by Reporting 2015,Issued by Reporting 2016,Issued by Reporting 2017,Issued by Reporting 2018,Issued by Reporting 2019,Issued by Reporting 2020,Issued by Reporting 2021,Retired 1996,Retired 1997,Retired 1998,Retired 1999,Retired 2000,Retired 2001,Retired 2002,Retired 2003,Retired 2004,Retired 2005,Retired 2006,Retired 2007,Retired 2008,Retired 2009,Retired 2010,Retired 2011,Retired 2012,Retired 2013,Retired 2014,Retired 2015,Retired 2016,Retired 2017,Retired 2018,Retired 2019,Retired 2020,Retired 2021,"Year Unknown",Remaining 1996,Remaining 1997,Remaining 1998,Remaining 1999,Remaining 2000,Remaining 2001,Remaining 2002,Remaining 2003,Remaining 2004,Remaining 2005,Remaining 2006,Remaining 2007,Remaining 2008,Remaining 2009,Remaining 2010,Remaining 2011,Remaining 2012,Remaining 2013,Remaining 2014,Remaining 2015,Remaining 2016,Remaining 2017,Remaining 2018,Remaining 2019,Remaining 2020,Remaining 2021,Project Owner ,Offset Project Operator ,Authorized Project Designee,Verifier,Estimated Annual Emission Reductions,PERs,Registry / ARB,ARB Project Detail,ARB ID,Project Listed,Project Registered ,CCB / Certifications,Project Type,"Registry Documents",Project Website,Issued 1996,Issued 1997,Issued 1998,Issued 1999,Issued 2000,Issued 2001,Issued 2002,Issued 2003,Issued 2004,Issued 2005,Issued 2006,Issued 2007,Issued 2008,Issued 2009,Issued 2010,Issued 2011,Issued 2012,Issued 2013,Issued 2014,Issued 2015,Issued 2016,Issued 2017,Issued 2018,Issued 2019,Issued 2020,Issued 2021,Notes from Registry,Notes from Berkeley Carbon Trading Project,Date added to database,"first issuance yr (no hard code, hide w formulas)"
ACR101,AFOVERT Energy,ACR,No,Canceled,Household & Community,Cookstoves,,Sub Saharan Africa,Mali,Niono District,Niono,Katene Kadji,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,ACR,,,,,Clean Water and Sanitation; Affordable and Clean Energy; Climate Action; Life on Land,Fuel Switching,https://acr2.apx.com/myModule/rpt/myrpt.asp?r=111,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,202104,0
ACR102,Air Bag Gas Substitution,ACR,No,Completed,Chemical Processes,SF6 Replacement,,North America,United States,OREGON,Beaverton,Nike,7984006,17666,7966340,2003,0,0,0,0,0,0,0,1898382,3004613,3081011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,1966,400,10025,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1890716,3004613,3071011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ERT,,0,ACR,,,,,,Industrial Gas Substitution,https://acr2.apx.com/myModule/rpt/myrpt.asp?r=111,,0,0,0,0,0,0,0,0,0,1898000,6086006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,202104,2003
ACR103,Inland Empire Anaerobic Ag Digester,ACR,No,Completed,Agriculture,Manure Methane Digester,,North America,United States,CALIFORNIA,Chino,Inland Empire Utilities Agency,44202,28636,15566,2003,0,0,0,0,0,0,0,8072,5848,4409,3632,7998,13210,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,134,0,0,13850,10490,147,3917,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,5572,5816,4178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Ruby Canyon Environment,,0,ACR,,,,,,Livestock Waste Management,https://acr2.apx.com/myModule/rpt/myrpt.asp?r=111,,0,0,0,0,0,0,0,0,0,13848,4481,0,11630,0,14243,0,0,0,0,0,0,0,0,0,0,0,,,202104,2003
ACR104,"Ankotrofotsy Community-based Reforestation & Carbon Offset Project, Menabe region, Madagascar",ACR,No,Inactive,Forestry & Land Use,Afforestation/Reforestation,,Sub Saharan Africa,Madagascar,Miandrivazo,Ankotrofotsy,Tany Meva Foundation,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,ACR,,,,,Clean Water and Sanitation; Climate Action; Life on Land,Forest Carbon,https://acr2.apx.com/myModule/rpt/myrpt.asp?r=111,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,202104,0
ACR105,Boa Vista A/R,ACR,No,Completed,Forestry & Land Use,Afforestation/Reforestation,,South America,Brazil,Roraima,Boa Vista,F.I.T Timber Ltd,3674586,3674586,0,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3674586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,645,0,0,3673931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SCS Global Services (Scientific Certification Systems),,0,ACR,,,,,Clean Water and Sanitation; Climate Action; Life on Land,Forest Carbon,https://acr2.apx.com/myModule/rpt/myrpt.asp?r=111,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3674586,0,0,0,0,0,0,0,0,0,,,202104,2011
ACR106,Brickyard LFG to Energy,ACR,No,Completed,Waste Management,Landfill Methane,,North America,United States,ILLINOIS,Danville,Biogas Energy Solutions,138492,95330,43162,2006,0,0,0,0,0,0,0,0,0,0,95330,43162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54000,41330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ERT,,0,ACR,,,,,,Landfill Gas Capture & Combustion,https://acr2.apx.com/myModule/rpt/myrpt.asp?r=111,,0,0,0,0,0,0,0,0,0,0,0,138492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,202104,2006
ACR107,Camargo Fuel Substitution,ACR,No,Completed,Industrial Manufacturing,Fuel Switching,,South America,Bolivia,Nor Ciniti,Camargo,E+Co,1138,127,1011,2005,0,0,0,0,0,0,0,0,0,316,352,342,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,352,342,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,CONSOT SRL ñ SERVICIOS DE CONSULTORIA,,0,ACR,,,,,,Fuel Switching,https://acr2.apx.com/myModule/rpt/myrpt.asp?r=111,,0,0,0,0,0,0,0,0,0,0,0,0,1138,0,0,0,0,0,0,0,0,0,0,0,0,0,,,202104,2005
ACR108,San Juan National Forest Carbon Demonstration Project,ACR,No,Canceled,Forestry & Land Use,Improved Forest Management,,North America,United States,COLORADO,"Columbine Ranger District, 20 Miles North of Bayfield, CO",National Forest Foundation,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,ACR,,,,,Clean Water and Sanitation; Climate Action; Life on Land,Forest Carbon,https://acr2.apx.com/myModule/rpt/myrpt.asp?r=111,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,202104,0
ACR109,Chesapeake Mizer Pneumatic Retrofit,ACR,No,Registered,Industrial Manufacturing,Pneumatic Retrofit,,North America,United States,OKLAHOMA,"Oklahoma, Texas, New Mexico, Kansas and Arkansas",Chesapeake Energy,541804,200000,341804,2008,0,0,0,0,0,0,0,0,0,0,0,0,39727,109153,110384,105596,92762,84182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118,118311,80571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59264,105596,92762,84182,0,0,0,0,0,0,0,0,,,,,,0,ACR,,,,,"Affordable and Clean Energy; Industry, Innovation and Infrastructure; Climate Action",Industrial Process Emissions,https://acr2.apx.com/myModule/rpt/myrpt.asp?r=111,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231023,0,0,310781,0,0,0,0,0,0,0,,,202104,2008
ACR110,Chicago LFG to Energy,ACR,No,Completed,Waste Management,Landfill Methane,,North America,United States,ILLINOIS,Chicago,Biogas Energy Solutions,62262,0,62262,2006,0,0,0,0,0,0,0,0,0,0,43632,18630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43632,18630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ERT,,0,ACR,,,,,,Landfill Gas Capture & Combustion,https://acr2.apx.com/myModule/rpt/myrpt.asp?r=111,,0,0,0,0,0,0,0,0,0,0,0,62262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,202104,2006
