Project ID,Project Name,Registry,ARB Project,Registry + ARB,Scope,Project Type,Methodology / Protocol,Region,Country,State,Project Site Location,Project Developer,Total Credits Issued,Total Credits Retired,Total Credits Remaining,First Year of Project,Issued by Reporting 1996,Issued by Reporting 1997,Issued by Reporting 1998,Issued by Reporting 1999,Issued by Reporting 2000,Issued by Reporting 2001,Issued by Reporting 2002,Issued by Reporting 2003,Issued by Reporting 2004,Issued by Reporting 2005,Issued by Reporting 2006,Issued by Reporting 2007,Issued by Reporting 2008,Issued by Reporting 2009,Issued by Reporting 2010,Issued by Reporting 2011,Issued by Reporting 2012,Issued by Reporting 2013,Issued by Reporting 2014,Issued by Reporting 2015,Issued by Reporting 2016,Issued by Reporting 2017,Issued by Reporting 2018,Issued by Reporting 2019,Issued by Reporting 2020,Issued by Reporting Future Years,Retired 1996,Retired 1997,Retired 1998,Retired 1999,Retired 2000,Retired 2001,Retired 2002,Retired 2003,Retired 2004,Retired 2005,Retired 2006,Retired 2007,Retired 2008,Retired 2009,Retired 2010,Retired 2011,Retired 2012,Retired 2013,Retired 2014,Retired 2015,Retired 2016,Retired 2017,Retired 2018,Retired 2019,Retired 2020,Retired 2021,Retired Year Unknown,Project Owner,Offset Project Operator,Authorized Project Designee,Verifier,Estimated Annual Emission Reductions,Voluntary Status,Project Listed,Project Registered ,ARB ID,Active CCB Status,Project Sector,Registry Documents,Project Website,Issued 1996,Issued 1997,Issued 1998,Issued 1999,Issued 2000,Issued 2001,Issued 2002,Issued 2003,Issued 2004,Issued 2005,Issued 2006,Issued 2007,Issued 2008,Issued 2009,Issued 2010,Issued 2011,Issued 2012,Issued 2013,Issued 2014,Issued 2015,Issued 2016,Issued 2017,Issued 2018,Issued 2019,Issued 2020,Notes,Date project added to database,Year of first issuance
ACR101,AFOVERT Energy,ACR,,ACR,Household & Community,Cookstoves,,Sub Saharan Africa,Mali,Niono District,Niono,NA,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,Registered,,,,,Fuel Switching,https://acr2.apx.com/myModule/rpt/myrpt.asp?r=111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,44300,0
ACR102,Air Bag Gas Substitution,ACR,,ACR,Chemical Processes,SF6 Replacement,,North America,United States,OREGON,Beaverton,NA,7984006,17666,7966340,2003,0,0,0,0,0,0,0,1898382,3004613,3081011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,1966,400,10025,275,0,0,0,0,0,0,0,,,,ERT,,Completed,,,,,Industrial Gas Substitution,https://acr2.apx.com/myModule/rpt/myrpt.asp?r=111,0,0,0,0,0,0,0,0,0,0,1898000,6086006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,44300,2003
ACR103,Inland Empire Anaerobic Ag Digester,ACR,,ACR,Agriculture,Manure Methane Digester,,North America,United States,CALIFORNIA,Chino,Inland Empire Utilities Agency,44202,28636,15566,2003,0,0,0,0,0,0,0,8072,5848,4409,3632,7998,13210,1033,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,66,0,134,0,0,13850,10490,147,3917,0,0,0,32,0,0,0,0,0,,,,Ruby Canyon Environment,,Completed,,,,,Livestock Waste Management,https://acr2.apx.com/myModule/rpt/myrpt.asp?r=111,,0,0,0,0,0,0,0,0,0,13848,4481,0,11630,0,14243,0,0,0,0,0,0,0,0,0,0,,44300,2003
ACR104,"Ankotrofotsy Community-based Reforestation & Carbon Offset Project, Menabe region, Madagascar",ACR,,ACR,Forestry & Land Use,Afforestation/Reforestation,,Sub Saharan Africa,Madagascar,Miandrivazo,Ankotrofotsy,Tany Meva Foundation,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Inactive,,,,,Forest Carbon,https://acr2.apx.com/myModule/rpt/myrpt.asp?r=111,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,44300,0
ACR105,Boa Vista A/R,ACR,,ACR,Forestry & Land Use,Afforestation/Reforestation,,South America,Brazil,Roraima,Boa Vista,F.I.T Timber Ltd,3674586,3674586,0,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3674586,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,645,0,0,3673931,0,0,0,0,0,,,,SCS Global Services (Scientific Certification Systems),,Completed,,,,,Forest Carbon,https://acr2.apx.com/myModule/rpt/myrpt.asp?r=111,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3674586,0,0,0,0,0,0,0,0,,44300,2011
ACR106,Brickyard LFG to Energy,ACR,,ACR,Waste Management,Landfill Methane,,North America,United States,ILLINOIS,Danville,Biogas Energy Solutions,138492,95330,43162,2006,0,0,0,0,0,0,0,0,0,0,95330,43162,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54000,41330,0,0,0,,,,ERT,,Completed,,,,,Landfill Gas Capture & Combustion,https://acr2.apx.com/myModule/rpt/myrpt.asp?r=111,,0,0,0,0,0,0,0,0,0,0,0,138492,0,0,0,0,0,0,0,0,0,0,0,0,0,,44300,2006
ACR107,Camargo Fuel Substitution,ACR,,ACR,Industrial Manufacturing,Fuel Switching,,South America,Bolivia,Nor Ciniti,Camargo,E+Co,1138,127,1011,2005,0,0,0,0,0,0,0,0,0,316,352,342,128,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,CONSOT SRL ñ SERVICIOS DE CONSULTORIA,,Completed,,,,,Fuel Switching,https://acr2.apx.com/myModule/rpt/myrpt.asp?r=111,,0,0,0,0,0,0,0,0,0,0,0,0,1138,0,0,0,0,0,0,0,0,0,0,0,0,,44300,2005
ACR108,San Juan National Forest Carbon Demonstration Project,ACR,,ACR,Forestry & Land Use,Improved Forest Management,,North America,United States,COLORADO,"Columbine Ranger District, 20 Miles North of Bayfield, CO",National Forest Foundation,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Canceled,,,,,Forest Carbon,https://acr2.apx.com/myModule/rpt/myrpt.asp?r=111,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,44300,0
ACR109,Chesapeake Mizer Pneumatic Retrofit,ACR,,ACR,Industrial Manufacturing,Pneumatic Retrofit,,North America,United States,OKLAHOMA,"Oklahoma, Texas, New Mexico, Kansas and Arkansas",Chesapeake Energy,541804,200000,341804,2008,0,0,0,0,0,0,0,0,0,0,0,0,39727,109153,110384,105596,92762,84182,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118,118311,80571,0,0,0,0,,,,,,Registered,,,,,Industrial Process Emissions,https://acr2.apx.com/myModule/rpt/myrpt.asp?r=111,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231023,0,0,310781,0,0,0,0,0,0,,44300,2008
ACR110,Chicago LFG to Energy,ACR,,ACR,Waste Management,Landfill Methane,,North America,United States,ILLINOIS,Chicago,Biogas Energy Solutions,62262,0,62262,2006,0,0,0,0,0,0,0,0,0,0,43632,18630,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ERT,,Completed,,,,,Landfill Gas Capture & Combustion,https://acr2.apx.com/myModule/rpt/myrpt.asp?r=111,,0,0,0,0,0,0,0,0,0,0,0,62262,0,0,0,0,0,0,0,0,0,0,0,0,0,,44300,2006
